,0,类型,标题,上架时间,编号,信息卡照片,信息卡号,营业执照,经纪备案,房源图片列表,价格,特色标签列表,户型,面积,朝向,经纪人姓名,经纪人联系方式,最短租期,最长租期,所在楼层,总楼层,车位,用电,入住,看房,电梯,用水,燃气,电视,冰箱,洗衣机,空调,热水器,床,暖气,宽带,衣柜,天然气,地址和交通,小区最新成交,房源描述,房源链接
256,511,整租,华严北里小区 2室1厅 7500元,2019-04-11,BJ2232455964169076736,https://ke-image.ljcdn.com/ehr-personnel/20180901143511952K621OND6.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/69379e48-2379-4238-a7fa-8bfb450d04bc.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/ca5e53fe-1e0d-417f-b3f5-fff26066a949.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/0d042c4d-8a79-4b3d-892c-f6846ec8c1d1.jpg.780x439.jpg""]",7500,"[""近地铁"", ""精装"", ""集中供暖"", ""新上"", ""随时看房""]",2室1厅1卫,65,西北,,,720,1080,高楼层,18,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,1,1,1,,,,https://bj.zu.ke.com/zufang/BJ2232455964169076736.html
257,513,整租,后白堆子 1室1厅,2019-04-13,BJ2234032356233322496,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555152382738/1122f7984d10de1c445f8a5c0045692d.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555152382738/b9d9d2516e7a10dd4eda0cea1490eb69.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555152383187/0c34a280eb55c2b9c682b040f0ccfd90.jpg.780x439.jpg""]",6360,"[""公寓"", ""近地铁"", ""押一付一"", ""新上"", ""随时看房""]",1室1厅1卫,41,南,,,暂无数据,暂无数据,5,6,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,0,1,1,1,0,1,0,1,1,0,,,房源为南北通透的整租两居室，主卧朝南，可以沐浴在阳光中享受美好的一天；客厅空间宽阔舒适，房源内配有新购置的冰箱、洗衣机、空调等家电，满足您的生活需求，两个卧室适合三口之家居住或者与朋友合住。小区环境优美，绿化良好,https://bj.zu.ke.com/zufang/BJ2234032356233322496.html
258,515,整租,国海广场 1室1厅 9000元,2019-04-12,BJ2232458096042065920,https://ke-image.ljcdn.com/ehr-personnel/20180823174216771IUDBKQ8Q.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/616bfe97-0eab-4045-b1f5-974077982c6a.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/7895b1ab-3faf-4655-8139-7350c0c8d580.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/50d7e694-7b7b-43ac-a6bf-0dff6f5cb21f.jpg.780x439.jpg""]",9000,"[""近地铁"", ""精装"", ""集中供暖"", ""新上"", ""随时看房""]",1室1厅1卫,83,西,,,720,1080,低楼层,27,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,1,1,1,,,,https://bj.zu.ke.com/zufang/BJ2232458096042065920.html
259,517,整租,南顶村 2室1厅 5300元,2019-04-11,BJ2232521726300782592,https://ke-image.ljcdn.com/ehr-personnel/20180823175431022KIEVJHLB.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/f54eecf2-b3a3-4dcc-beab-03353b8ae0a0.JPG.780x439.jpg"", ""https://ke-image.ljcdn.com/hdic-frame/abd0d036-08c6-467f-911c-570f6dc0056e.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/db77933a-3fa4-4bbf-976f-b71d9490b611.JPG.780x439.jpg""]",5300,"[""近地铁"", ""集中供暖"", ""新上"", ""随时看房""]",2室1厅1卫,58,南 北,,,720,1080,中楼层,6,暂无数据,民电,2019-04-30,暂无数据,无,民水,有,1,1,1,1,1,1,1,1,1,1,,,,https://bj.zu.ke.com/zufang/BJ2232521726300782592.html
260,519,整租,锦秋知春 2室1厅,2019-04-14,BJ2234783612979650560,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555241857019/c7bbc02f701855a151a470f2b1d8db07.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555241857019/951eedaff741e760f4e668708f9a4a51.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555241857182/7d4a0fc6bafd60b99d7983d2331ffd6f.jpg.780x439.jpg""]",11790,"[""公寓"", ""近地铁"", ""押一付一"", ""新上"", ""随时看房""]",2室1厅1卫,74,北,,,暂无数据,暂无数据,13,25,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,1,1,1,1,0,1,0,1,1,0,,,该房屋位于锦秋知春小区1号楼，13层高楼层视野好，空气清新，房屋窗户对着小区的花园广场，景色靓丽。早上醒来，窗外望去，都是绿化，心情都很舒畅呢。房屋内配有基础的生活所需的家居电器，是您居家的好选择，欢迎您的入住。,https://bj.zu.ke.com/zufang/BJ2234783612979650560.html
261,521,整租,团结湖公寓 1室0厅 6000元,2019-04-11,BJ2232546280377425920,https://ke-image.ljcdn.com/ehr-personnel/20181010165124232ITLVEG5D.jpg,,,,"[""https://ke-image.ljcdn.com/hdic-frame/prod-31721eca-be66-417a-9b25-149d73b27855.png.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/prod-28541a1b-9318-4c18-a0ed-3dd989a9a059.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/prod-181a06c2-d5f7-485a-867f-166a0c233be4.jpg.780x439.jpg""]",6000,"[""月租"", ""近地铁"", ""精装"", ""新上"", ""随时看房""]",1室0厅1卫,54,西,,,30,90,中楼层,21,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,1,1,1,,,,https://bj.zu.ke.com/zufang/BJ2232546280377425920.html
262,523,整租,翠微路22号院 1室1厅 5700元,2019-04-12,BJ2233073670962544640,https://ke-image.ljcdn.com/ehr-personnel/20180822134742393A4MVXLOE.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/5e0ea4b5-8dc4-4c01-9179-153887d8fae0.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/hdic-frame/95aa65dc-4ba9-4bc0-8026-7117e2fe4a3c.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/0a7652a4-f159-49d3-ac88-8b430ac94314.jpg.780x439.jpg""]",5700,"[""近地铁"", ""精装"", ""集中供暖"", ""新上"", ""随时看房""]",1室1厅1卫,42,南,,,3年以上,3年以上,高楼层,6,暂无数据,民电,随时入住,需提前预约,无,民水,有,1,1,1,1,1,1,1,1,1,1,,,,https://bj.zu.ke.com/zufang/BJ2233073670962544640.html
263,525,未知,大井南里 2室1厅 4600元,2019-04-12,BJ2233076833417428992,https://ke-image.ljcdn.com/ehr-personnel/201902271558058386F1DFI4R.png,,,,"[""https://ke-image.ljcdn.com/110000-inspection/2991dbb8-4db1-48d6-8301-03589ed1c551.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/hdic-frame/test-e5494c2b-1de2-4fab-8cca-9a856e40d72c.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/168c16a9-577a-46d8-8f66-412cf0fc9e34.jpg.780x439.jpg""]",4600,"[""近地铁"", ""集中供暖"", ""新上"", ""随时看房""]",2室1厅1卫,54,南 北,,,暂无数据,暂无数据,高楼层,6,暂无数据,民电,随时入住,需提前预约,无,民水,有,0,0,0,0,0,0,0,0,0,0,,,,https://bj.zu.ke.com/zufang/BJ2233076833417428992.html
264,527,整租,电信小区 2室1厅,2019-04-14,BJ2234783613919174656,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555241863628/04f0e3d23095e3dfa513764e958c0598.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555241863628/2d86c6ccbfc26062cc42666dc6baf9bf.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555241863785/845cc7c5f531396f90ac78c74709adcc.jpg.780x439.jpg""]",6890,"[""公寓"", ""近地铁"", ""押一付一"", ""新上"", ""随时看房""]",2室1厅1卫,41,西,,,暂无数据,暂无数据,6,6,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,1,1,1,1,1,1,0,1,1,0,,,房屋位于北蜂窝路，正规两居室，采光好，空间较大，可自行规划设计物品的摆放，适合情侣以及一家人入住，空间并不会感到拥挤。业主用心维护的房源，附带自如的家具家电。给您一种舒适惬意的感觉祝您住的安心放心舒心，一切自如,https://bj.zu.ke.com/zufang/BJ2234783613919174656.html
265,529,整租,赵堂子胡同 1室1厅 7300元,2019-04-12,BJ2233081318579904512,https://ke-image.ljcdn.com/ehr-personnel/20180823121343896H4PALV4P.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/d403d5ca-c69d-4e94-9c7d-1f0191cdbe60.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/hdic-frame/1431cd5c-7999-49ef-88e4-638d0b9997e2.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/c411356a-8d7d-4e2a-bfa2-adcf88bffea4.jpg.780x439.jpg""]",7300,"[""近地铁"", ""精装"", ""集中供暖"", ""新上"", ""随时看房""]",1室1厅1卫,47,南,,,3年以上,3年以上,低楼层,6,暂无数据,民电,随时入住,需提前预约,无,民水,有,1,1,1,1,1,1,1,1,1,1,,,,https://bj.zu.ke.com/zufang/BJ2233081318579904512.html
266,531,未知,西马庄园 2室1厅 4000元,2019-04-12,BJ2233199490343641088,https://ke-image.ljcdn.com/ehr-personnel/20180822162241355ZHRSIXWA.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/09589461-0ba1-402e-b5b2-fb8295642270.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/b86652e6-79cf-4c92-9b0a-14df0864c077.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/83cfc35b-44d9-4bbb-8dcf-a77f46153fd9.jpg.780x439.jpg""]",4000,"[""近地铁"", ""集中供暖"", ""新上"", ""随时看房""]",2室1厅1卫,76,南 北,,,暂无数据,暂无数据,高楼层,6,暂无数据,民电,随时入住,需提前预约,无,民水,有,0,0,0,0,0,0,0,0,0,0,,,,https://bj.zu.ke.com/zufang/BJ2233199490343641088.html
267,533,整租,古城西路 2室1厅,2019-04-14,BJ2234784528201949184,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555242048986/b0064a0c641cfa4a19e3690e9b8e2828.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555242048986/61b2d4fd36dfd174a977aa544189672c.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555242049140/5fcf6d283ead60702683d7a9119b638f.jpg.780x439.jpg""]",5890,"[""公寓"", ""近地铁"", ""押一付一"", ""新上"", ""随时看房""]",2室1厅1卫,57,西,,,暂无数据,暂无数据,3,6,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,1,1,1,1,1,1,0,1,1,0,,,自如整租两居室，小区人文素质高，距离1号线古城地铁站900米，房子南北通透，位于三层，减少了您爬楼梯的苦恼，无论您是和家里老人，还是带着孩子，或是和朋友一起都适合居住。,https://bj.zu.ke.com/zufang/BJ2234784528201949184.html
268,535,未知,潘家园东里 1室1厅 5500元,2019-04-12,BJ2233217215404965888,https://ke-image.ljcdn.com/ehr-personnel/2018082211104796566SGNLOD.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/0feeab91-feb3-4c7d-8649-0eaefc294667.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/hdic-frame/test-317d9184-847e-479e-929e-d020d9d8e254.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/55e54394-ef53-40d8-be7f-6f4e2b9a9922.jpg.780x439.jpg""]",5500,"[""近地铁"", ""集中供暖"", ""新上"", ""随时看房""]",1室1厅1卫,43,北,,,暂无数据,暂无数据,高楼层,18,暂无数据,民电,2019-04-21,需提前预约,有,民水,有,0,0,0,0,0,0,0,0,0,0,,,,https://bj.zu.ke.com/zufang/BJ2233217215404965888.html
269,537,整租,朝阳区 双井 富力城C区 两居室 出租 客户免中介费,2019-04-12,BJ2233270692026261504,https://ke-image.ljcdn.com/ehr-personnel/201808231002586151LG4JPYG.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/2656a430-cc6c-4ecd-bc14-9baa373c7c79.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/c88ff44f-a0c7-4919-bfc3-715d36ecf5fc.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/af47d360-e6be-451b-b04f-123bc1b31223.jpg.780x439.jpg""]",14000,"[""近地铁"", ""精装"", ""集中供暖"", ""双卫生间"", ""新上"", ""随时看房""]",2室1厅2卫,93,东北,,,3年以上,3年以上,中楼层,20,租用车位,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,1,1,1,,,"【房源亮点】 朝阳区 双井 富力城C区 两居室 出租 客户免中介费 业主自己居住的，这是第一次出租，主卧室落地飘窗，窗户大。
【户型介绍】 您看户型图，这个房子是富力城C区的东北两居室，进门是一个玄关进门换鞋方便，大卧室朝北，带有一个卫生间，落地窗户大，外边看的景观…",https://bj.zu.ke.com/zufang/BJ2233270692026261504.html
270,539,整租,中海紫御公馆 2室1厅 8100元,2019-04-12,BJ2233298958816649216,https://ke-image.ljcdn.com/ehr-personnel/20180831194605551PGEQN2JQ.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/05c82bd1-ca48-4ae7-9086-64476f74f2b2.JPG.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/7756a5e7-ac0a-46e4-9f2f-360fbbf4a8c6.JPG.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/e717da24-4d08-412a-86ca-4907d0cd5aa2.JPG.780x439.jpg""]",8100,"[""近地铁"", ""精装"", ""集中供暖"", ""新上"", ""随时看房""]",2室1厅1卫,61,东北,,,1年以内,1年以内,低楼层,22,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,0,0,1,1,,,,https://bj.zu.ke.com/zufang/BJ2233298958816649216.html
271,541,整租,大成国际 1室1厅,2019-04-14,BJ2234791038567333888,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555242825193/225467b8b17c04cbdb04f98ce05a48ee.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555242825193/2b8c9419dff5c8a3283f7f582dfbc494.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555242825329/00eafe8298114dd748e208f02804e9b8.jpg.780x439.jpg""]",6590,"[""公寓"", ""近地铁"", ""押一付一"", ""新上"", ""随时看房""]",1室1厅1卫,48,东,,,暂无数据,暂无数据,3,21,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,1,1,1,0,0,0,0,1,0,0,,,小区位于东四环中路，小区保安24小时值班，呵护您和家人的安全，周边吃喝购物比较便捷，房子朝向东，可以看到早晨的第一缕阳光，给您满满的正能量，希望您会喜欢我们的房子！,https://bj.zu.ke.com/zufang/BJ2234791038567333888.html
272,543,整租,郁花园一里中间楼层一居室，拎包入住,2019-04-12,BJ2233334933487616000,https://ke-image.ljcdn.com/ehr-personnel/201808231409015277OFD3L8C.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/6854044a-cbe2-41bc-adb3-65166f094d47.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/c0d79838-cf0f-4716-bda9-35b97068aeed.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/fe5cb5a2-4c35-4602-a7c1-8d589a490f52.jpg.780x439.jpg""]",3400,"[""近地铁"", ""集中供暖"", ""新上"", ""随时看房""]",1室1厅1卫,49,南,,,3年以上,3年以上,中楼层,6,免费使用,民电,随时入住,暂无数据,无,民水,有,1,1,1,1,1,1,1,1,1,1,,,"【户型介绍】 此房是一居开间，但是客厅和卧室中间隔起来了，互不影响，厨房卫生间都有，房子是朝南的，中间楼层，采光无遮挡
【交通出行】 此房所在的小区，到地铁步行约600米（来源百度地图），地铁站是高米店北站，西门有多路公交车站，例如829路，兴14路，兴68路",https://bj.zu.ke.com/zufang/BJ2233334933487616000.html
273,545,整租,阜成门外北街 2室1厅 8500元,2019-04-12,BJ2233344112587972608,https://ke-image.ljcdn.com/ehr-personnel/20190212111903189R7HABNH1.png,,,,"[""https://ke-image.ljcdn.com/110000-inspection/0bc88ec5-4408-4161-b914-553c68fe2ff4.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/b9215fbe-0cda-4896-8064-6f03c3283e7f.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/d858d3eb-baa5-43e2-9154-b6d25e4fa628.jpg.780x439.jpg""]",8500,"[""近地铁"", ""精装"", ""集中供暖"", ""新上"", ""随时看房""]",2室1厅1卫,63,南,,,720,1080,中楼层,18,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,1,1,1,,,,https://bj.zu.ke.com/zufang/BJ2233344112587972608.html
274,547,整租,建新北区 2室1厅,2019-04-14,BJ2234825009862279168,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555246870537/1200fe7944243458f0f2efeac8bbb4aa.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555246870537/86482fee9760c0bbdbf4a3ab9d339602.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555246870702/d4efed92c228ece51686ff037ee48f0f.jpg.780x439.jpg""]",4060,"[""公寓"", ""近地铁"", ""押一付一"", ""新上"", ""随时看房""]",2室1厅1卫,57,南,,,暂无数据,暂无数据,5,5,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,1,1,1,1,1,1,0,1,1,0,,,房子正规两居室，南北通透，前后无遮挡，采光好，出小区北门就是餐饮街、商场和超市，生活购物方便。室内配有品牌家具家电，免费WiFi，自如月度保洁，给您的租房生活带来不一样的体验。步行可达15号线顺义地铁站，上班高峰有座位，出行方便。,https://bj.zu.ke.com/zufang/BJ2234825009862279168.html
